seed,horizon,model,split,mae,rmse
8,2,XGBoost,test,4529.624248540232,7631.992599032194
8,2,LightGBM,val,9591.10765735011,14158.598318139087
8,2,LightGBM,test,4668.242965532224,7829.373942054881
8,2,Ridge,val,5564.4317722801325,9434.151337166622
8,2,Ridge,test,3939.4320545488736,7810.7281540606355
8,2,Rolling Mean,val,11183.316666666668,14028.674211533082
8,2,Rolling Mean,test,7325.725,10743.304603430144
9,2,MLP,val,5867.858003056449,9768.614803820363
9,2,MLP,test,3324.3759437526833,6438.232067399132
9,2,XGBoost,val,8653.88092364548,13206.79914452562
9,2,XGBoost,test,4767.242184709151,7932.166333147753
9,2,LightGBM,val,9982.02793817557,14880.7963447293
9,2,LightGBM,test,4804.879045627392,7882.102116060851
9,2,Ridge,val,5564.4317722801325,9434.151337166622
9,2,Ridge,test,3939.4320545488736,7810.7281540606355
9,2,Rolling Mean,val,11183.316666666668,14028.674211533082
9,2,Rolling Mean,test,7325.725,10743.304603430144
10,2,MLP,val,5401.327383554578,9003.472857411401
10,2,MLP,test,3303.8143205209058,6562.419584838509
10,2,XGBoost,val,8913.584609320915,13597.401372537599
10,2,XGBoost,test,4359.174371801509,7163.196917372333
10,2,LightGBM,val,9597.013592580604,14343.629129799481
10,2,LightGBM,test,4839.031808294359,8039.955974360649
10,2,Ridge,val,5564.4317722801325,9434.151337166622
10,2,Ridge,test,3939.4320545488736,7810.7281540606355
10,2,Rolling Mean,val,11183.316666666668,14028.674211533082
10,2,Rolling Mean,test,7325.725,10743.304603430144
11,2,MLP,val,6373.276914396065,10538.466034315403
11,2,MLP,test,3476.332133789479,6885.87938243431
11,2,XGBoost,val,8775.977789048811,13330.398343101831
11,2,XGBoost,test,4774.857024666334,8061.280368402502
11,2,LightGBM,val,9194.95044092419,13652.718009101149
11,2,LightGBM,test,4777.052328492332,7919.313781240494
11,2,Ridge,val,5564.4317722801325,9434.151337166622
11,2,Ridge,test,3939.4320545488736,7810.7281540606355
11,2,Rolling Mean,val,11183.316666666668,14028.674211533082
11,2,Rolling Mean,test,7325.725,10743.304603430144
12,2,MLP,val,6715.639201989285,10781.479055338988
12,2,MLP,test,3903.9644952485123,7411.156728889214
12,2,XGBoost,val,8394.820356639688,12653.641398268486
12,2,XGBoost,test,4557.941302196978,7574.641909813778
12,2,LightGBM,val,9570.007219756655,14165.236278358194
12,2,LightGBM,test,4824.242748830233,7995.9800172414925
12,2,Ridge,val,5564.4317722801325,9434.151337166622
12,2,Ridge,test,3939.4320545488736,7810.7281540606355
12,2,Rolling Mean,val,11183.316666666668,14028.674211533082
12,2,Rolling Mean,test,7325.725,10743.304603430144
13,2,MLP,val,5905.899651468866,9142.86404761343
13,2,MLP,test,3721.793776887604,7140.223970628007
13,2,XGBoost,val,8497.449625779527,13059.279629489036
13,2,XGBoost,test,4524.031855958311,7702.398354163134
13,2,LightGBM,val,9845.27921175364,14647.84012593552
13,2,LightGBM,test,4894.805423335303,7989.8015935190715
13,2,Ridge,val,5564.4317722801325,9434.151337166622
13,2,Ridge,test,3939.4320545488736,7810.7281540606355
13,2,Rolling Mean,val,11183.316666666668,14028.674211533082
13,2,Rolling Mean,test,7325.725,10743.304603430144
14,2,MLP,val,5474.55973646588,9659.873669078606
14,2,MLP,test,3041.259775724576,6062.970253501215
14,2,XGBoost,val,8788.280279282899,13428.2190110132
14,2,XGBoost,test,4854.700235659156,8236.709163773809
14,2,LightGBM,val,9547.47892795149,14285.162085871354
14,2,LightGBM,test,4839.6644222925925,7965.885790833857
14,2,Ridge,val,5564.4317722801325,9434.151337166622
14,2,Ridge,test,3939.4320545488736,7810.7281540606355
14,2,Rolling Mean,val,11183.316666666668,14028.674211533082
14,2,Rolling Mean,test,7325.725,10743.304603430144
15,2,MLP,val,4987.184975989108,8575.545555413935
15,2,MLP,test,3867.964188358194,7558.295989024353
15,2,XGBoost,val,8872.365860222286,13520.36613361169
15,2,XGBoost,test,4564.544565545651,7604.9686536363415
15,2,LightGBM,val,9535.439851931662,14264.643750233623
15,2,LightGBM,test,4668.29784265069,7740.292057663217
15,2,Ridge,val,5564.4317722801325,9434.151337166622
15,2,Ridge,test,3939.4320545488736,7810.7281540606355
15,2,Rolling Mean,val,11183.316666666668,14028.674211533082
15,2,Rolling Mean,test,7325.725,10743.304603430144
1,3,MLP,val,7723.34441310076,12509.435237723907
1,3,MLP,test,4606.955835360207,8917.538549898509
1,3,XGBoost,val,11137.80763056158,16495.3420010974
1,3,XGBoost,test,6543.251736173374,10260.939195435496
1,3,LightGBM,val,12693.888006082185,18176.782926967942
1,3,LightGBM,test,6938.344391737904,10547.03633492635
1,3,Ridge,val,7647.620360760297,12709.463693306478
